DATE,Jumbo30
12/7/2017,4.14
12/8/2017,4.144
12/11/2017,4.161
12/12/2017,4.208
12/13/2017,4.222
12/14/2017,4.158
12/15/2017,4.197
12/18/2017,4.154
12/19/2017,4.203
12/20/2017,4.277
12/21/2017,4.313
12/22/2017,4.329
12/25/2017,.
12/26/2017,4.3
12/27/2017,4.259
12/28/2017,4.246
12/29/2017,4.18
1/1/2018,.
1/2/2018,4.227
1/3/2018,4.183
1/4/2018,4.304
1/5/2018,4.233
1/8/2018,4.256
1/9/2018,4.209
1/10/2018,4.446
1/11/2018,4.328
1/12/2018,4.342
1/15/2018,.
1/16/2018,4.231
1/17/2018,4.247
1/18/2018,4.338
1/19/2018,4.359
1/22/2018,4.347
1/23/2018,4.375
1/24/2018,4.364
1/25/2018,4.381
1/26/2018,4.406
1/29/2018,4.501
1/30/2018,4.403
1/31/2018,4.428
2/1/2018,4.496
2/2/2018,4.469
2/5/2018,4.53
2/6/2018,4.495
2/7/2018,4.475
2/8/2018,4.535
2/9/2018,4.533
2/12/2018,4.494
2/13/2018,4.497
2/14/2018,4.518
2/15/2018,4.632
2/16/2018,4.559
2/19/2018,.
2/20/2018,4.57
2/21/2018,4.637
2/22/2018,4.658
2/23/2018,4.61
2/26/2018,4.564
2/27/2018,4.589
2/28/2018,4.593
3/1/2018,4.577
3/2/2018,4.548
3/5/2018,4.564
3/6/2018,4.634
3/7/2018,4.581
3/8/2018,4.61
3/9/2018,4.574
3/12/2018,4.54
3/13/2018,4.52
3/14/2018,4.586
3/15/2018,4.5
3/16/2018,4.629
3/19/2018,4.575
3/20/2018,4.593
3/21/2018,4.614
3/22/2018,4.605
3/23/2018,4.626
3/26/2018,4.546
3/27/2018,4.559
3/28/2018,4.555
3/29/2018,4.504
3/30/2018,4.447
4/2/2018,4.501
4/3/2018,4.599
4/4/2018,4.496
4/5/2018,4.587
4/6/2018,4.552
4/9/2018,4.619
4/10/2018,4.541
4/11/2018,4.546
4/12/2018,4.549
4/13/2018,4.578
4/16/2018,4.62
4/17/2018,4.565
4/18/2018,4.622
4/19/2018,4.62
4/20/2018,4.663
4/23/2018,4.638
4/24/2018,4.656
4/25/2018,4.696
4/26/2018,4.674
4/27/2018,4.68
4/30/2018,4.648
5/1/2018,4.726
5/2/2018,4.768
5/3/2018,4.685
5/4/2018,4.73
5/7/2018,4.69
5/8/2018,4.637
5/9/2018,4.631
5/10/2018,4.678
5/11/2018,4.684
5/14/2018,4.682
5/15/2018,4.75
5/16/2018,4.82
5/17/2018,4.92
5/18/2018,4.746
5/21/2018,4.807
5/22/2018,4.728
5/23/2018,4.788
5/24/2018,4.678
5/25/2018,4.645
5/28/2018,.
5/29/2018,4.622
5/30/2018,4.621
5/31/2018,4.658
6/1/2018,4.736
6/4/2018,4.716
6/5/2018,4.665
6/6/2018,4.727
6/7/2018,4.74
6/8/2018,4.704
6/11/2018,4.694
6/12/2018,4.679
6/13/2018,4.75
6/14/2018,4.81
6/15/2018,4.731
6/18/2018,4.768
6/19/2018,4.71
6/20/2018,4.676
6/21/2018,4.724
6/22/2018,4.711
6/25/2018,4.701
6/26/2018,4.622
6/27/2018,4.751
6/28/2018,4.68
6/29/2018,4.791
7/2/2018,4.646
7/3/2018,4.688
7/4/2018,.
7/5/2018,4.653
7/6/2018,4.73
7/9/2018,4.652
7/10/2018,4.659
7/11/2018,4.713
7/12/2018,4.717
7/13/2018,4.697
7/16/2018,4.672
7/17/2018,4.709
7/18/2018,4.677
7/19/2018,4.722
7/20/2018,4.674
7/23/2018,4.727
7/24/2018,4.752
7/25/2018,4.708
7/26/2018,4.727
7/27/2018,4.727
7/30/2018,4.732
7/31/2018,4.688
8/1/2018,4.717
8/2/2018,4.753
8/3/2018,4.765
8/6/2018,4.757
8/7/2018,4.755
8/8/2018,4.785
8/9/2018,4.647
8/10/2018,4.813
8/13/2018,4.688
8/14/2018,4.748
8/15/2018,4.712
8/16/2018,4.637
8/17/2018,4.775
8/20/2018,4.672
8/21/2018,4.681
8/22/2018,4.7
8/23/2018,4.716
8/24/2018,4.604
8/27/2018,4.639
8/28/2018,4.691
8/29/2018,4.733
8/30/2018,4.775
8/31/2018,4.671
9/3/2018,.
9/4/2018,4.775
9/5/2018,4.753
9/6/2018,4.641
9/7/2018,4.742
9/10/2018,4.7
9/11/2018,4.723
9/12/2018,4.816
9/13/2018,4.769
9/14/2018,4.749
9/17/2018,4.745
9/18/2018,4.853
9/19/2018,4.767
9/20/2018,4.793
9/21/2018,4.848
9/24/2018,4.807
9/25/2018,4.839
9/26/2018,4.905
9/27/2018,4.87
9/28/2018,4.796
10/1/2018,4.859
10/2/2018,4.89
10/3/2018,4.857
10/4/2018,4.885
10/5/2018,4.982
10/8/2018,.
10/9/2018,5.035
10/10/2018,4.992
10/11/2018,4.883
10/12/2018,4.884
10/15/2018,4.983
10/16/2018,5.012
10/17/2018,4.921
10/18/2018,4.975
