DATE,OBMMIC30YF
12/4/2017,4.25
12/5/2017,4.247
12/6/2017,4.215
12/7/2017,4.212
12/8/2017,4.216
12/11/2017,4.22
12/12/2017,4.255
12/13/2017,4.246
12/14/2017,4.23
12/15/2017,4.209
12/18/2017,4.228
12/19/2017,4.279
12/20/2017,4.306
12/21/2017,4.322
12/22/2017,4.297
12/25/2017,.
12/26/2017,4.294
12/27/2017,4.297
12/28/2017,4.258
12/29/2017,4.275
1/1/2018,.
1/2/2018,4.246
1/3/2018,4.257
1/4/2018,4.27
1/5/2018,4.259
1/8/2018,4.284
1/9/2018,4.312
1/10/2018,4.351
1/11/2018,4.349
1/12/2018,4.345
1/15/2018,.
1/16/2018,4.334
1/17/2018,4.348
1/18/2018,4.39
1/19/2018,4.411
1/22/2018,4.438
1/23/2018,4.406
1/24/2018,4.425
1/25/2018,4.428
1/26/2018,4.425
1/29/2018,4.479
1/30/2018,4.502
1/31/2018,4.511
2/1/2018,4.534
2/2/2018,4.603
2/5/2018,4.584
2/6/2018,4.561
2/7/2018,4.586
2/8/2018,4.659
2/9/2018,4.641
2/12/2018,4.647
2/13/2018,4.664
2/14/2018,4.698
2/15/2018,4.708
2/16/2018,4.678
2/19/2018,.
2/20/2018,4.705
2/21/2018,4.712
2/22/2018,4.733
2/23/2018,4.694
2/26/2018,4.677
2/27/2018,4.73
2/28/2018,4.715
3/1/2018,4.679
3/2/2018,4.706
3/5/2018,4.725
3/6/2018,4.742
3/7/2018,4.758
3/8/2018,4.749
3/9/2018,4.742
3/12/2018,4.712
3/13/2018,4.704
3/14/2018,4.695
3/15/2018,4.693
3/16/2018,4.709
3/19/2018,4.726
3/20/2018,4.734
3/21/2018,4.784
3/22/2018,4.725
3/23/2018,4.735
3/26/2018,4.712
3/27/2018,4.732
3/28/2018,4.703
3/29/2018,4.711
3/30/2018,4.677
4/2/2018,4.703
4/3/2018,4.705
4/4/2018,4.711
4/5/2018,4.725
4/6/2018,4.694
4/9/2018,4.71
4/10/2018,4.695
4/11/2018,4.691
