,period_begin,period_end,region,property_type,median_sale_price,median_sale_price_yoy,median_list_price,median_list_price_yoy,new_listings,new_listings_yoy,county,year,date
336,2020-01-01,2020-01-31,"Caldwell County, TX",All Residential,242500.0,0.2278481012658228,221950.0,-0.111844737895158,34.0,0.0303030303030302,Caldwell County,2020,2020-01-31
87,2020-01-01,2020-01-31,"Williamson County, TX",All Residential,278500.0,0.0220183486238532,290000.0,0.0384587839289551,982.0,0.1121177802944506,Williamson County,2020,2020-01-31
1014,2020-01-01,2020-01-31,"Bastrop County, TX",All Residential,250000.0,0.094570928196147,263387.0,0.1732160356347438,100.0,0.1764705882352941,Bastrop County,2020,2020-01-31
2442,2020-01-01,2020-01-31,"Travis County, TX",All Residential,353000.0,0.0696969696969695,398745.0,0.123241172410879,1536.0,-0.0077519379844961,Travis County,2020,2020-01-31
2429,2020-01-01,2020-01-31,"Hays County, TX",All Residential,256000.0,-0.0352364801205954,290495.0,0.0982797731568998,348.0,0.0235294117647057,Hays County,2020,2020-01-31
1107,2020-02-01,2020-02-29,"Hays County, TX",All Residential,282500.0,0.042473892025536,298500.0,0.1264150943396227,375.0,0.1261261261261261,Hays County,2020,2020-02-29
363,2020-02-01,2020-02-29,"Bastrop County, TX",All Residential,250000.0,0.0416666666666667,288400.0,0.0885072655217966,114.0,0.3571428571428572,Bastrop County,2020,2020-02-29
2299,2020-02-01,2020-02-29,"Travis County, TX",All Residential,376000.0,0.1223880597014925,405035.0,0.09424557611779,1708.0,0.0035252643948295,Travis County,2020,2020-02-29
628,2020-02-01,2020-02-29,"Williamson County, TX",All Residential,290000.0,0.0563508541871562,301787.5,0.0350004458437078,1054.0,0.0843621399176954,Williamson County,2020,2020-02-29
708,2020-02-01,2020-02-29,"Caldwell County, TX",All Residential,207000.0,-0.0310258954818656,198000.0,0.0159055926115956,33.0,0.6499999999999999,Caldwell County,2020,2020-02-29
1674,2020-03-01,2020-03-31,"Hays County, TX",All Residential,285021.0,0.0755509433962264,299700.0,-0.001,454.0,0.0271493212669682,Hays County,2020,2020-03-31
1105,2020-03-01,2020-03-31,"Williamson County, TX",All Residential,285000.0,0.0363636363636363,305000.0,0.0338983050847456,1328.0,0.0068233510235027,Williamson County,2020,2020-03-31
1611,2020-03-01,2020-03-31,"Travis County, TX",All Residential,395860.5,0.1408083573487031,424900.0,0.0622499999999999,2205.0,-0.0013586956521739,Travis County,2020,2020-03-31
841,2020-03-01,2020-03-31,"Caldwell County, TX",All Residential,239900.0,0.1846913580246913,229000.0,0.0933396992122224,30.0,-0.2857142857142857,Caldwell County,2020,2020-03-31
1164,2020-03-01,2020-03-31,"Bastrop County, TX",All Residential,273000.0,0.1617021276595744,289900.0,0.0564175819370449,131.0,-0.0296296296296296,Bastrop County,2020,2020-03-31
1271,2020-04-01,2020-04-30,"Williamson County, TX",All Residential,295740.0,0.0413545285048531,302945.0,0.0269322033898304,1092.0,-0.1777108433734939,Williamson County,2020,2020-04-30
1083,2020-04-01,2020-04-30,"Travis County, TX",All Residential,395000.0,0.0972222222222223,414900.0,0.0398496240601504,1742.0,-0.26775956284153,Travis County,2020,2020-04-30
1325,2020-04-01,2020-04-30,"Bastrop County, TX",All Residential,275000.0,0.1530398322851152,255900.0,0.0240096038415367,81.0,-0.4527027027027027,Bastrop County,2020,2020-04-30
152,2020-04-01,2020-04-30,"Caldwell County, TX",All Residential,198000.0,-0.1574468085106383,237475.0,0.0370087336244542,20.0,-0.4736842105263158,Caldwell County,2020,2020-04-30
2542,2020-04-01,2020-04-30,"Hays County, TX",All Residential,294500.0,-0.0117449664429529,307132.5,0.0594429113487409,443.0,0.0114155251141552,Hays County,2020,2020-04-30
2270,2020-05-01,2020-05-31,"Travis County, TX",All Residential,395000.0,0.0431824724216887,425000.0,0.0720141253625929,2086.0,-0.1780929866036249,Travis County,2020,2020-05-31
940,2020-05-01,2020-05-31,"Williamson County, TX",All Residential,291500.0,-0.0218120805369127,319995.0,0.1157621297442423,1236.0,-0.2066752246469832,Williamson County,2020,2020-05-31
