DATE,FEDFUNDS
1/1/2012,0.08
2/1/2012,0.1
3/1/2012,0.13
4/1/2012,0.14
5/1/2012,0.16
6/1/2012,0.16
7/1/2012,0.16
8/1/2012,0.13
9/1/2012,0.14
10/1/2012,0.16
11/1/2012,0.16
12/1/2012,0.16
1/1/2013,0.14
2/1/2013,0.15
3/1/2013,0.14
4/1/2013,0.15
5/1/2013,0.11
6/1/2013,0.09
7/1/2013,0.09
8/1/2013,0.08
9/1/2013,0.08
10/1/2013,0.09
11/1/2013,0.08
12/1/2013,0.09
1/1/2014,0.07
2/1/2014,0.07
3/1/2014,0.08
4/1/2014,0.09
5/1/2014,0.09
6/1/2014,0.1
7/1/2014,0.09
8/1/2014,0.09
9/1/2014,0.09
10/1/2014,0.09
11/1/2014,0.09
12/1/2014,0.12
1/1/2015,0.11
2/1/2015,0.11
3/1/2015,0.11
4/1/2015,0.12
5/1/2015,0.12
6/1/2015,0.13
7/1/2015,0.13
8/1/2015,0.14
9/1/2015,0.14
10/1/2015,0.12
11/1/2015,0.12
12/1/2015,0.24
1/1/2016,0.34
2/1/2016,0.38
3/1/2016,0.36
4/1/2016,0.37
5/1/2016,0.37
6/1/2016,0.38
7/1/2016,0.39
8/1/2016,0.4
9/1/2016,0.4
10/1/2016,0.4
11/1/2016,0.41
12/1/2016,0.54
1/1/2017,0.65
2/1/2017,0.66
3/1/2017,0.79
4/1/2017,0.9
5/1/2017,0.91
6/1/2017,1.04
7/1/2017,1.15
8/1/2017,1.16
9/1/2017,1.15
10/1/2017,1.15
11/1/2017,1.16
12/1/2017,1.3
1/1/2018,1.41
2/1/2018,1.42
3/1/2018,1.51
4/1/2018,1.69
5/1/2018,1.7
6/1/2018,1.82
7/1/2018,1.91
8/1/2018,1.91
9/1/2018,1.95
10/1/2018,2.19
11/1/2018,2.2
12/1/2018,2.27
1/1/2019,2.4
2/1/2019,2.4
3/1/2019,2.41
4/1/2019,2.42
5/1/2019,2.39
6/1/2019,2.38
7/1/2019,2.4
8/1/2019,2.13
9/1/2019,2.04
10/1/2019,1.83
11/1/2019,1.55
12/1/2019,1.55
1/1/2020,1.55
2/1/2020,1.58
3/1/2020,0.65
4/1/2020,0.05
5/1/2020,0.05
6/1/2020,0.08
7/1/2020,0.09
8/1/2020,0.1
9/1/2020,0.09
10/1/2020,0.09
11/1/2020,0.09
12/1/2020,0.09
1/1/2021,0.09
2/1/2021,0.08
3/1/2021,0.07
4/1/2021,0.07
5/1/2021,0.06
6/1/2021,0.08
7/1/2021,0.1
8/1/2021,0.09
9/1/2021,0.08
10/1/2021,0.08
11/1/2021,0.08
12/1/2021,0.08
1/1/2022,0.08
2/1/2022,0.08
3/1/2022,0.2
4/1/2022,0.33
5/1/2022,0.77
6/1/2022,1.21
7/1/2022,1.68
8/1/2022,2.33
9/1/2022,2.56
10/1/2022,3.08
11/1/2022,3.78
