DATE,MORTGAGE30US
4/2/1971,7.33
4/9/1971,7.31
4/16/1971,7.31
4/23/1971,7.31
4/30/1971,7.29
5/7/1971,7.38
5/14/1971,7.42
5/21/1971,7.44
5/28/1971,7.46
6/4/1971,7.52
6/11/1971,7.52
6/18/1971,7.54
6/25/1971,7.54
7/2/1971,7.54
7/9/1971,7.54
7/16/1971,7.6
7/23/1971,7.65
7/30/1971,7.69
8/6/1971,7.66
8/13/1971,7.73
8/20/1971,7.71
8/27/1971,7.69
9/3/1971,7.71
9/10/1971,7.67
9/17/1971,7.7
9/24/1971,7.67
10/1/1971,7.67
10/8/1971,7.63
10/15/1971,7.63
10/22/1971,7.58
10/29/1971,7.63
11/5/1971,7.59
11/12/1971,7.56
11/19/1971,7.54
11/26/1971,7.51
12/3/1971,7.49
12/10/1971,7.47
12/17/1971,7.48
12/24/1971,7.48
12/31/1971,7.48
1/7/1972,7.46
1/14/1972,7.46
1/21/1972,7.43
1/28/1972,7.4
2/4/1972,7.35
2/11/1972,7.33
2/18/1972,7.31
2/25/1972,7.31
3/3/1972,7.32
3/10/1972,7.32
3/17/1972,7.31
3/24/1972,7.31
3/31/1972,7.23
4/7/1972,7.25
4/14/1972,7.29
4/21/1972,7.29
4/28/1972,7.33
5/5/1972,7.33
5/12/1972,7.38
5/19/1972,7.38
5/26/1972,7.4
6/2/1972,7.36
6/9/1972,7.38
6/16/1972,7.38
6/23/1972,7.36
6/30/1972,7.38
7/7/1972,7.38
7/14/1972,7.4
7/21/1972,7.4
7/28/1972,7.4
8/4/1972,7.35
8/11/1972,7.41
8/18/1972,7.42
8/25/1972,7.42
9/1/1972,7.42
9/8/1972,7.42
9/15/1972,7.42
9/22/1972,7.41
9/29/1972,7.43
10/6/1972,7.41
10/13/1972,7.41
10/20/1972,7.44
10/27/1972,7.42
11/3/1972,7.43
11/10/1972,7.42
11/17/1972,7.42
11/24/1972,7.44
12/1/1972,7.45
12/8/1972,7.43
12/15/1972,7.43
12/22/1972,7.45
12/29/1972,7.45
1/5/1973,7.44
1/12/1973,7.44
1/19/1973,7.44
1/26/1973,7.43
2/2/1973,7.43
2/9/1973,7.43
2/16/1973,7.45
2/23/1973,7.45
3/2/1973,7.45
3/9/1973,7.45
3/16/1973,7.45
3/23/1973,7.45
3/30/1973,7.49
4/6/1973,7.51
4/13/1973,7.54
4/20/1973,7.56
4/27/1973,7.56
5/4/1973,7.58
5/11/1973,7.64
5/18/1973,7.69
5/24/1973,7.7
6/1/1973,7.7
6/8/1973,7.73
6/15/1973,7.73
6/22/1973,7.75
6/29/1973,7.76
7/6/1973,7.89
7/13/1973,8.01
7/20/1973,8.12
7/27/1973,8.18
8/3/1973,8.26
8/10/1973,8.4
8/17/1973,8.55
8/24/1973,8.61
8/31/1973,8.66
9/7/1973,8.77
9/14/1973,8.81
9/21/1973,8.83
9/28/1973,8.85
10/5/1973,8.82
10/12/1973,8.83
10/19/1973,8.75
10/26/1973,8.68
11/2/1973,8.62
11/9/1973,8.59
11/16/1973,8.58
11/23/1973,8.57
11/30/1973,8.55
12/7/1973,8.53
12/14/1973,8.53
12/21/1973,8.53
12/28/1973,8.56
1/4/1974,8.56
1/11/1974,8.53
1/18/1974,8.55
1/25/1974,8.52
2/1/1974,8.48
2/8/1974,8.46
2/15/1974,8.46
2/22/1974,8.42
3/1/1974,8.41
3/8/1974,8.41
3/15/1974,8.4
3/22/1974,8.4
3/29/1974,8.41
4/5/1974,8.44
4/12/1974,8.53
4/19/1974,8.63
4/26/1974,8.73
5/3/1974,8.87
5/10/1974,8.98
5/17/1974,8.97
5/24/1974,9.01
5/31/1974,9.03
6/7/1974,9.06
6/14/1974,9.11
6/21/1974,9.07
6/28/1974,9.1
7/5/1974,9.14
7/12/1974,9.19
7/19/1974,9.37
7/26/1974,9.42
8/2/1974,9.47
8/9/1974,9.5
8/16/1974,9.6
8/23/1974,9.62
8/30/1974,9.74
9/6/1974,9.88
9/13/1974,9.92
9/20/1974,10
9/27/1974,10.03
10/4/1974,10.02
10/11/1974,9.96
10/18/1974,9.99
10/25/1974,9.94
11/1/1974,9.87
11/8/1974,9.81
11/15/1974,9.81
11/22/1974,9.73
11/29/1974,9.72
12/6/1974,9.69
12/13/1974,9.63
12/20/1974,9.58
12/27/1974,9.56
1/3/1975,9.6
1/10/1975,9.49
1/17/1975,9.43
1/24/1975,9.35
1/31/1975,9.29
2/7/1975,9.2
2/14/1975,9.13
2/21/1975,9.07
2/28/1975,9.02
3/7/1975,9
3/14/1975,8.89
3/21/1975,8.86
3/28/1975,8.86
4/4/1975,8.83
4/11/1975,8.81
4/18/1975,8.8
4/25/1975,8.84
5/2/1975,8.92
5/9/1975,8.88
5/16/1975,8.92
5/23/1975,8.92
5/30/1975,8.89
6/6/1975,8.89
6/13/1975,8.9
6/20/1975,8.88
6/27/1975,8.9
7/3/1975,8.88
7/11/1975,8.9
7/18/1975,8.89
7/25/1975,8.89
8/1/1975,8.89
8/8/1975,8.89
8/15/1975,8.93
8/22/1975,8.98
8/29/1975,9.02
9/5/1975,9.08
9/12/1975,9.16
9/19/1975,9.14
9/26/1975,9.14
10/3/1975,9.2
10/10/1975,9.21
10/17/1975,9.21
10/24/1975,9.26
10/31/1975,9.24
11/7/1975,9.19
11/14/1975,9.16
11/21/1975,9.12
