DATE,OBMMIFHA30YF
12/4/2017,4.27
12/5/2017,4.257
12/6/2017,4.263
12/7/2017,4.236
12/8/2017,4.272
12/11/2017,4.3
12/12/2017,4.332
12/13/2017,4.32
12/14/2017,4.302
12/15/2017,4.287
12/18/2017,4.286
12/19/2017,4.324
12/20/2017,4.35
12/21/2017,4.362
12/22/2017,4.339
12/25/2017,.
12/26/2017,4.384
12/27/2017,4.269
12/28/2017,4.279
12/29/2017,4.288
1/1/2018,.
1/2/2018,4.283
1/3/2018,4.295
1/4/2018,4.279
1/5/2018,4.327
1/8/2018,4.332
1/9/2018,4.354
1/10/2018,4.425
1/11/2018,4.364
1/12/2018,4.379
1/15/2018,.
1/16/2018,4.334
1/17/2018,4.408
1/18/2018,4.421
1/19/2018,4.428
1/22/2018,4.483
1/23/2018,4.448
1/24/2018,4.468
1/25/2018,4.48
1/26/2018,4.466
1/29/2018,4.491
1/30/2018,4.516
1/31/2018,4.556
2/1/2018,4.549
2/2/2018,4.626
2/5/2018,4.635
2/6/2018,4.619
2/7/2018,4.661
2/8/2018,4.718
2/9/2018,4.712
2/12/2018,4.72
2/13/2018,4.759
2/14/2018,4.749
2/15/2018,4.794
2/16/2018,4.75
2/19/2018,.
2/20/2018,4.753
2/21/2018,4.792
2/22/2018,4.821
2/23/2018,4.796
2/26/2018,4.785
2/27/2018,4.855
2/28/2018,4.837
3/1/2018,4.796
3/2/2018,4.812
3/5/2018,4.82
3/6/2018,4.87
3/7/2018,4.86
3/8/2018,4.859
3/9/2018,4.853
3/12/2018,4.838
3/13/2018,4.835
3/14/2018,4.825
3/15/2018,4.845
3/16/2018,4.85
3/19/2018,4.88
3/20/2018,4.893
3/21/2018,4.885
3/22/2018,4.858
3/23/2018,4.882
3/26/2018,4.891
3/27/2018,4.893
3/28/2018,4.851
3/29/2018,4.834
3/30/2018,4.788
4/2/2018,4.864
4/3/2018,4.856
4/4/2018,4.861
4/5/2018,4.859
4/6/2018,4.793
4/9/2018,4.835
4/10/2018,4.813
4/11/2018,4.825
4/12/2018,4.85
4/13/2018,4.83
4/16/2018,4.847
4/17/2018,4.83
4/18/2018,4.843
4/19/2018,4.88
4/20/2018,4.885
4/23/2018,4.935
4/24/2018,4.95
4/25/2018,4.972
4/26/2018,4.964
4/27/2018,4.964
4/30/2018,4.959
5/1/2018,4.965
5/2/2018,4.96
5/3/2018,4.967
5/4/2018,4.92
5/7/2018,4.947
5/8/2018,4.935
5/9/2018,4.976
5/10/2018,4.965
5/11/2018,4.98
5/14/2018,4.972
5/15/2018,5.037
5/16/2018,5.049
5/17/2018,5.075
5/18/2018,5.056
5/21/2018,5.047
5/22/2018,5.067
5/23/2018,5.002
5/24/2018,4.981
5/25/2018,4.954
5/28/2018,.
5/29/2018,4.907
5/30/2018,4.91
5/31/2018,4.922
6/1/2018,4.958
6/4/2018,4.959
6/5/2018,4.979
6/6/2018,4.993
6/7/2018,5.008
6/8/2018,4.978
6/11/2018,5.011
6/12/2018,5.016
6/13/2018,4.995
6/14/2018,5.001
6/15/2018,4.975
6/18/2018,4.984
6/19/2018,4.978
6/20/2018,4.982
6/21/2018,5.002
6/22/2018,4.994
6/25/2018,4.993
6/26/2018,4.956
6/27/2018,4.948
6/28/2018,4.989
6/29/2018,4.96
7/2/2018,4.969
7/3/2018,4.964
7/4/2018,.
7/5/2018,4.972
7/6/2018,4.976
7/9/2018,4.953
7/10/2018,4.977
7/11/2018,4.969
7/12/2018,4.97
7/13/2018,4.949
7/16/2018,4.954
7/17/2018,4.951
7/18/2018,4.948
7/19/2018,4.925
7/20/2018,4.957
7/23/2018,4.991
7/24/2018,4.986
7/25/2018,4.988
7/26/2018,4.98
7/27/2018,5.019
7/30/2018,4.979
7/31/2018,4.989
8/1/2018,5.01
8/2/2018,5.014
8/3/2018,5.007
8/6/2018,4.98
8/7/2018,5.005
8/8/2018,5.02
8/9/2018,4.96
8/10/2018,4.972
8/13/2018,4.982
8/14/2018,4.96
8/15/2018,4.972
8/16/2018,4.989
8/17/2018,4.943
8/20/2018,4.968
8/21/2018,4.969
8/22/2018,4.986
8/23/2018,4.959
8/24/2018,4.987
8/27/2018,4.959
8/28/2018,4.971
8/29/2018,4.957
8/30/2018,4.983
8/31/2018,4.993
9/3/2018,.
9/4/2018,5.005
9/5/2018,5.007
9/6/2018,5.008
9/7/2018,5.012
9/10/2018,5.001
9/11/2018,5.006
9/12/2018,5.037
9/13/2018,5.011
9/14/2018,5.04
9/17/2018,5.054
9/18/2018,5.083
9/19/2018,5.119
9/20/2018,5.133
9/21/2018,5.114
9/24/2018,5.124
9/25/2018,5.112
9/26/2018,5.132
9/27/2018,5.101
9/28/2018,5.086
10/1/2018,5.118
10/2/2018,5.09
10/3/2018,5.133
10/4/2018,5.219
10/5/2018,5.235
10/8/2018,.
10/9/2018,5.257
10/10/2018,5.244
10/11/2018,5.226
10/12/2018,5.237
10/15/2018,5.22
10/16/2018,5.232
10/17/2018,5.217
10/18/2018,5.267
10/19/2018,5.266
10/22/2018,5.288
10/23/2018,5.267
10/24/2018,5.261
10/25/2018,5.283
10/26/2018,5.248
10/29/2018,5.248
10/30/2018,5.283
10/31/2018,5.272
11/1/2018,5.289
11/2/2018,5.32
11/5/2018,5.33
11/6/2018,5.322
11/7/2018,5.304
11/8/2018,5.319
11/9/2018,5.338
11/12/2018,.
11/13/2018,5.313
11/14/2018,5.306
11/15/2018,5.26
11/16/2018,5.266
11/19/2018,5.26
11/20/2018,5.261
11/21/2018,5.255
